freq_hz,mag_db,phase_deg
2.471923828125000000e+00,2.636862320638382773e+00,-2.478151217254264438e+01
2.502441406250000000e+00,3.691945918626327039e+00,-2.739528316994399049e+01
2.532958984375000000e+00,3.436479234795375426e+00,-3.294454948999825206e+01
2.563476562500000000e+00,3.226441152978507532e+00,-2.956430079092809038e+01
2.593994140625000000e+00,4.033034978646449886e+00,-2.103143117475972801e+01
2.624511718750000000e+00,3.467663212342212198e+00,-2.445234962070552598e+01
2.655029296875000000e+00,3.458045767232076795e+00,-2.769971735542229396e+01
2.685546875000000000e+00,3.020375163609988256e+00,-2.769108115947507187e+01
2.716064453125000000e+00,3.098226626742520029e+00,-2.602250328977592986e+01
2.746582031250000000e+00,3.934238667797711919e+00,-2.602224171611098669e+01
2.777099609375000000e+00,3.750534297691265895e+00,-2.157768369670901976e+01
2.807617187500000000e+00,3.412682300283173653e+00,-2.692264434631891135e+01
2.838134765625000000e+00,3.907536025900238741e+00,-3.268429836122297161e+01
2.868652343750000000e+00,3.604078993647946483e+00,-3.478716076066907448e+01
2.899169921875000000e+00,2.996908336891589641e+00,-3.397758115105558829e+01
2.929687500000000000e+00,2.689599198085432796e+00,-3.647849052535836023e+01
2.960205078125000000e+00,3.838867782173860377e+00,-3.409425862221460335e+01
2.990722656250000000e+00,3.750069158487009169e+00,-2.123235749950874052e+01
3.021240234375000000e+00,3.611758705777312173e+00,-2.988656700519611675e+01
3.051757812500000000e+00,2.907326975952305936e+00,-3.583484120190142619e+01
3.082275390625000000e+00,3.219605776368397176e+00,-3.193822397819526770e+01
3.112792968750000000e+00,3.971667777781536124e+00,-2.605637472465025439e+01
3.143310546875000000e+00,5.713713347559286504e+00,-3.115802937187423183e+01
3.173828125000000000e+00,4.750985475513306078e+00,-3.556723890569882940e+01
3.204345703125000000e+00,2.761618555546406562e+00,-4.039196737542861371e+01
3.234863281250000000e+00,2.765388171453115440e+00,-3.856089191015669115e+01
3.265380859375000000e+00,2.757497153617101127e+00,-3.709101957846954178e+01
3.295898437500000000e+00,3.318804270426586100e+00,-3.895662391800410518e+01
3.326416015625000000e+00,4.057870236065611813e+00,-3.295033281187533447e+01
